0.92935026,0.619985,0.98101413,0.6266377,0.95980227,
0.16848367,0.23997402,0.18040043,0.24403489,0.03195564,

0.94173336,0.93170345,0.8486001,0.9899489,0.8591321,
0.44511652,0.24966067,0.35175568,0.40955755,0.36225677,

0.24524134,0.18325496,0.57889503,1.1393604,1.0918833,
0.15481722,0.3830555,0.30455333,-0.054989234,0.42734507,

0.89404136,0.5654163,0.84419084,0.56240565,0.8327428,
0.3619197,0.3392902,0.16045469,0.47538882,0.38160574,

0.9708435,0.031232834,0.993268,0.7324592,0.59371096,
0.072887,0.25072378,0.31964052,0.18328255,0.4401759,

0.90453005,0.98909956,0.992228,0.7473212,0.9973355,
0.39338958,0.48022258,0.16915315,0.46886325,0.18219727,

